ts_pdt,type,zScore,peakG,speedKmh,lat,lon
2026-07-07 19:53:46 PDT,pothole,5.69,0.415,113.3,37.45496826359657,-121.92299434193885
2026-07-07 19:53:59 PDT,pothole,4.995,0.372,119.1,37.45893079146631,-121.92397221338884
2026-07-07 19:54:48 PDT,pothole,8.174,0.529,36.1,37.46929780062674,-121.92900907579993
2026-07-07 19:55:03 PDT,concrete_joint,3.37,0.259,30.4,37.470341886529404,-121.9295573536489
2026-07-07 19:56:11 PDT,concrete_joint,3.006,0.215,65.7,37.47831370211354,-121.9334957747587
2026-07-07 19:56:50 PDT,concrete_joint,3.538,0.234,31.0,37.48335242377243,-121.93648640160701
2026-07-07 19:57:11 PDT,concrete_joint,3.25,0.212,49.2,37.484826107726676,-121.93813361572978
2026-07-07 19:57:40 PDT,concrete_joint,3.406,0.212,57.6,37.4872288817312,-121.94124892287766
2026-07-07 19:58:12 PDT,concrete_joint,5.246,0.289,75.9,37.49105781670577,-121.94620963100718
2026-07-07 19:59:14 PDT,concrete_joint,3.392,0.186,73.9,37.49841534702291,-121.95577273402141
2026-07-07 20:00:10 PDT,concrete_joint,3.666,0.19,52.0,37.505491085995786,-121.96487339963964
2026-07-07 20:01:12 PDT,concrete_joint,4.984,0.237,43.7,37.510227337876245,-121.97073911875104
2026-07-07 20:02:20 PDT,concrete_joint,3.654,0.184,43.4,37.51619298022811,-121.97811956991808
2026-07-07 20:02:31 PDT,concrete_joint,3.667,0.184,54.5,37.51703936459409,-121.97917250465773
2026-07-07 20:02:41 PDT,concrete_joint,3.864,0.191,63.4,37.51826121345456,-121.98069043972374
2026-07-07 20:03:15 PDT,pothole,10.172,0.42,59.9,37.52218561632603,-121.98564521791609
2026-07-07 20:03:22 PDT,turn,0.794,0,53.8,37.522844330552736,-121.98602424681107
2026-07-07 20:03:23 PDT,lane_change,0,0,33.2,37.52319426796754,-121.98632255888117
2026-07-07 20:04:46 PDT,concrete_joint,4.384,0.208,12.8,37.523379554478495,-121.98672741727171
2026-07-07 20:04:48 PDT,turn,0.241,0,24.2,37.52345310813251,-121.98691048892448
2026-07-07 20:04:57 PDT,pothole,10.738,0.445,49.4,37.522995092499485,-121.98743071661009
2026-07-07 20:05:03 PDT,pothole,8.153,0.354,46.1,37.52231266321131,-121.98787863700556
2026-07-07 20:05:10 PDT,pothole,12.085,0.507,47.9,37.52158725139741,-121.98851252377126
2026-07-07 20:05:21 PDT,turn,2.834,0,32.9,37.52076624414774,-121.98941266722446
2026-07-07 20:06:17 PDT,pothole,8.178,0.39,43.3,37.52381467509548,-121.99702139922364
2026-07-07 20:06:21 PDT,pothole,7.945,0.386,35.4,37.52408265739844,-121.99749517566231
2026-07-07 20:06:25 PDT,pothole,7.043,0.351,27.1,37.52424386664983,-121.99781579570477
2026-07-07 20:06:44 PDT,pothole,7.012,0.354,39.7,37.52491511124891,-121.99764911054864
2026-07-07 20:06:56 PDT,turn,-0.492,0,18.2,37.52594039181722,-121.997362073776
